user_id,segment,primary_intent,created_at,updated_at,preferred_districts,property_type,liked_amenities,min_bedrooms,budget_min,budget_max,age_group,age_group_conf,marital_status,marital_conf,children,children_conf,income_level,income_conf,persona
usr_1000,affordable,buy_for_living,2025-12-05T21:42:46Z,2025-12-13T07:25:15Z,Phường Tân Định,Nhà đất,near_school:1.0|kids_playground:0.62,2,2.0,2.4,,0.0,,0.0,,0.0,,0.0,
usr_1001,affordable,buy_for_living,2025-12-25T16:15:03Z,2026-01-23T15:56:25Z,Phường Tân Hưng|Phường Tăng Nhơn Phú|Phường Đức Nhuận,Nhà đất|Căn hộ,near_school:1.0|kids_playground:0.62,2,1.9,2.4,,0.0,,0.0,2.0,0.74,medium_high,0.85,
usr_1002,affordable,investment,2025-12-07T00:19:11Z,2025-12-18T09:01:03Z,Phường Bình Thạnh|Phường Chánh Hưng|Phường Long Bình,Nhà đất,near_school:1.0|kids_playground:0.56|park:0.65,2,1.9,3.0,,0.0,married,0.59,2.0,0.91,,0.0,
usr_1003,mid_range,buy_for_living,2025-12-17T00:15:17Z,2026-01-09T15:43:42Z,Phường Phú Định|Phường An Khánh,Nhà đất,near_bus:1.0|gym:0.64,1,3.3,5.6,50+,0.83,,0.0,,0.0,,0.0,
usr_1004,affordable,buy_for_living,2025-12-12T08:54:40Z,2025-12-14T14:33:41Z,Phường Bình Thạnh|Phường Tân Thuận|Phường Xuân Hòa,Căn hộ,near_bus:1.0|sports_court:0.62,1,1.6,2.4,30-40,0.55,married,0.85,0.0,0.92,,0.0,
usr_1005,affordable,buy_for_living,2025-12-21T19:59:11Z,2026-01-01T15:37:02Z,Phường Tân Thuận|Phường Long Bình,Nhà đất,parking:1.0|near_bus:0.43,1,1.4,2.8,30-40,0.78,,0.0,,0.0,,0.0,
usr_1006,mid_range,investment,2025-12-12T05:27:50Z,2025-12-22T03:00:04Z,Phường Phú Thọ Hòa,Nhà đất|Căn hộ,near_school:1.0|kids_playground:0.69|park:0.53|near_hospital:0.61,2,5.4,7.8,,0.0,married,0.94,,0.0,,0.0,
usr_1007,mid_range,buy_for_living,2025-12-21T06:19:52Z,2026-01-19T20:30:39Z,Phường Phú Thuận,Căn hộ,near_school:1.0|kids_playground:0.59,2,3.6,7.9,20-30,0.79,,0.0,,0.0,medium,0.52,
usr_1008,affordable,buy_for_living,2025-12-16T19:08:07Z,2025-12-26T07:55:04Z,Xã Nhà Bè,Nhà đất|Căn hộ,near_school:1.0|kids_playground:0.56|park:0.4|near_hospital:0.58,2,1.4,2.7,40-50,0.69,married,0.71,1.0,0.82,,0.0,
usr_1009,affordable,buy_for_living,2025-12-12T11:09:19Z,2025-12-19T14:58:26Z,Phường Bảy Hiền|Phường Phú Thuận,Nhà đất,near_school:1.0|kids_playground:0.64|park:0.52|near_hospital:0.35,2,1.3,3.0,,0.0,,0.0,,0.0,,0.0,
usr_1010,mid_range,rent,2025-12-20T09:05:03Z,2026-01-11T09:58:35Z,Phường Đông Hưng Thuận,Nhà đất|Căn hộ,parking:1.0|near_metro:0.62,1,3.4,6.7,40-50,0.81,,0.0,0.0,0.68,,0.0,
usr_1011,luxury,rent,2025-12-16T05:15:55Z,2026-01-09T22:40:41Z,Phường Long Bình|Phường Cát Lái|Phường Tân Hưng,Nhà đất|Căn hộ,near_school:1.0|kids_playground:0.65|park:0.63,3,10.7,24.4,,0.0,,0.0,3.0,0.59,,0.0,
