segment_intent,amenity,affinity
affordable|investment,near_market,0.7735
affordable|investment,parking,0.7182
affordable|investment,security_24h,0.5833
affordable|investment,near_school,0.5059
affordable|investment,elevator,0.3655
affordable|investment,park,0.3283
affordable|investment,balcony,0.2787
affordable|investment,near_hospital,0.2578
affordable|investment,near_mall,0.2533
affordable|investment,pool,0.2187
affordable|buy_for_living,near_market,0.7213
affordable|buy_for_living,parking,0.6815
affordable|buy_for_living,security_24h,0.5219
affordable|buy_for_living,near_school,0.4329
affordable|buy_for_living,park,0.3078
affordable|buy_for_living,elevator,0.3074
affordable|buy_for_living,near_hospital,0.252
affordable|buy_for_living,balcony,0.2204
affordable|buy_for_living,terrace,0.2165
affordable|buy_for_living,near_mall,0.2029
luxury|investment,near_market,0.7308
luxury|investment,parking,0.6056
luxury|investment,security_24h,0.4512
luxury|investment,near_school,0.3797
luxury|investment,terrace,0.3696
luxury|investment,elevator,0.2695
luxury|investment,near_hospital,0.2592
luxury|investment,near_mall,0.2526
luxury|investment,park,0.2509
luxury|investment,balcony,0.1955
mid_range|rent,near_market,0.6987
mid_range|rent,parking,0.6186
mid_range|rent,security_24h,0.4771
mid_range|rent,near_school,0.4235
mid_range|rent,park,0.2674
mid_range|rent,near_mall,0.2494
mid_range|rent,terrace,0.2236
mid_range|rent,balcony,0.2156
mid_range|rent,elevator,0.2059
mid_range|rent,near_hospital,0.1872
affordable|rent,near_market,0.7871
affordable|rent,parking,0.6691
affordable|rent,security_24h,0.4871
affordable|rent,near_school,0.4397
affordable|rent,park,0.3006
affordable|rent,elevator,0.2961
affordable|rent,near_hospital,0.2639
affordable|rent,terrace,0.2511
affordable|rent,balcony,0.219
affordable|rent,garden,0.1954
mid_range|buy_for_living,near_market,0.7215
mid_range|buy_for_living,parking,0.6723
mid_range|buy_for_living,security_24h,0.4985
mid_range|buy_for_living,near_school,0.4229
mid_range|buy_for_living,park,0.2757
mid_range|buy_for_living,elevator,0.2516
mid_range|buy_for_living,near_hospital,0.2422
mid_range|buy_for_living,terrace,0.2289
mid_range|buy_for_living,near_mall,0.2032
mid_range|buy_for_living,balcony,0.195
mid_range|investment,near_market,0.7463
mid_range|investment,parking,0.6645
mid_range|investment,security_24h,0.5845
mid_range|investment,near_school,0.3794
mid_range|investment,park,0.2738
mid_range|investment,elevator,0.268
mid_range|investment,balcony,0.2646
mid_range|investment,near_mall,0.2275
mid_range|investment,terrace,0.2171
mid_range|investment,near_hospital,0.1953
luxury|buy_for_living,near_market,0.7145
luxury|buy_for_living,parking,0.6745
luxury|buy_for_living,security_24h,0.4451
luxury|buy_for_living,near_school,0.3968
luxury|buy_for_living,elevator,0.2692
luxury|buy_for_living,park,0.2602
luxury|buy_for_living,terrace,0.2317
luxury|buy_for_living,near_hospital,0.1912
luxury|buy_for_living,balcony,0.1872
luxury|buy_for_living,near_mall,0.1835
luxury|rent,near_market,0.6418
luxury|rent,security_24h,0.5538
luxury|rent,parking,0.5464
luxury|rent,near_school,0.3594
luxury|rent,park,0.233
luxury|rent,garden,0.2298
luxury|rent,balcony,0.1958
luxury|rent,near_mall,0.1936
luxury|rent,elevator,0.1581
luxury|rent,pool,0.1536
